# Game Session ID 
0 
### Session Start ### 
# Game ID 
0 
# Begin play Date and Time 
 3 / 5 / 2013    20:34:24 
# With Fead back 
 True  
# With Visible Trajectory 
 False  
### Game start ### 
 # Throw number 1 of 5
# Type of Balls 
 Ball 0 -> Good ball 
 Ball 1 -> Ok ball 
 Ball 2 -> Bad ball 
# Trajectory par ball 
 Ball 0                               	 Ball 1                               	 Ball 2                               	 Ball 3                               	 Ball 4                               	 Ball 5                               	
X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
# Throw number 5 of 5
# Type of Balls 
 Ball 0 -> Good ball 
 Ball 1 -> Ok ball 
 Ball 2 -> Bad ball 
 Ball 3 -> Bad ball 
 Ball 4 -> Bad ball 
 Ball 5 -> Bad ball 
# Trajectory par ball 
 Ball 0                               	 Ball 1                               	 Ball 2                               	 Ball 3                               	 Ball 4                               	 Ball 5                               	
X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	
 7.980000 30.000000 3.500000 	 -4.020000 30.000000 3.500000 	 -8.000000 30.000000 3.500000 	 11.980000 30.000000 3.500000 	 0.020000 30.000000 3.500000 	 3.980000 30.000000 3.500000 	
 8.000000 29.773062 3.546700 	 -4.000000 29.773062 3.535638 	 -8.000000 29.773062 3.563718 	 12.000000 29.773062 3.518620 	 0.000000 29.773062 3.546700 	 4.000000 29.773062 3.535638 	
 8.020000 29.546122 3.593199 	 -3.980000 29.546122 3.571076 	 -8.000000 29.546122 3.627235 	 12.020000 29.546122 3.537040 	 -0.020000 29.546122 3.593199 	 4.020000 29.546122 3.571076 	
 8.040000 29.319183 3.639499 	 -3.960000 29.319183 3.606314 	 -8.000000 29.319183 3.690553 	 12.040000 29.319183 3.555260 	 -0.040000 29.319183 3.639499 	 4.040000 29.319183 3.606314 	
 8.060000 29.092243 3.685599 	 -3.940000 29.092243 3.641352 	 -8.000000 29.092243 3.753671 	 12.060000 29.092243 3.573280 	 -0.060000 29.092243 3.685599 	 4.060000 29.092243 3.641352 	
 8.080000 28.865305 3.731498 	 -3.920000 28.865305 3.676190 	 -8.000000 28.865305 3.816589 	 12.080000 28.865305 3.591100 	 -0.080000 28.865305 3.731498 	 4.080000 28.865305 3.676190 	
 8.100000 28.638365 3.777198 	 -3.900000 28.638365 3.710828 	 -8.000000 28.638365 3.879307 	 12.100000 28.638365 3.608719 	 -0.100000 28.638365 3.777198 	 4.100000 28.638365 3.710828 	
 8.120000 28.411427 3.822698 	 -3.880000 28.411427 3.745265 	 -8.000000 28.411427 3.941824 	 12.120000 28.411427 3.626139 	 -0.120000 28.411427 3.822698 	 4.120000 28.411427 3.745265 	
 8.140000 28.184488 3.867997 	 -3.860000 28.184488 3.779504 	 -8.000000 28.184488 4.004142 	 12.140000 28.184488 3.643359 	 -0.140000 28.184488 3.867997 	 4.140000 28.184488 3.779504 	
 8.160000 27.957548 3.913097 	 -3.840000 27.957548 3.813541 	 -8.000000 27.957548 4.066260 	 12.160000 27.957548 3.660379 	 -0.160000 27.957548 3.913097 	 4.160000 27.957548 3.813541 	
 8.180000 27.730610 3.957997 	 -3.820000 27.730610 3.847379 	 -8.000000 27.730610 4.128178 	 12.180000 27.730610 3.677199 	 -0.180000 27.730610 3.957997 	 4.180000 27.730610 3.847379 	
 8.200000 27.503670 4.002697 	 -3.800000 27.503670 3.881017 	 -8.000000 27.503670 4.189895 	 12.200000 27.503670 3.693819 	 -0.200000 27.503670 4.002697 	 4.200000 27.503670 3.881017 	
 8.220000 27.276731 4.047196 	 -3.780000 27.276731 3.914455 	 -8.000000 27.276731 4.251413 	 12.220000 27.276731 3.710238 	 -0.220000 27.276731 4.047196 	 4.220000 27.276731 3.914455 	
 8.240000 27.049793 4.091496 	 -3.760000 27.049793 3.947693 	 -8.000000 27.049793 4.312731 	 12.240000 27.049793 3.726458 	 -0.240000 27.049793 4.091496 	 4.240000 27.049793 3.947693 	
 8.260000 26.822853 4.135596 	 -3.740000 26.822853 3.980731 	 -8.000000 26.822853 4.373848 	 12.260000 26.822853 3.742478 	 -0.260000 26.822853 4.135596 	 4.260000 26.822853 3.980731 	
 8.280000 26.595913 4.179495 	 -3.720000 26.595913 4.013569 	 -8.000000 26.595913 4.434766 	 12.280000 26.595913 3.758298 	 -0.280000 26.595913 4.179495 	 4.280000 26.595913 4.013569 	
 8.300000 26.368975 4.223195 	 -3.700000 26.368975 4.046207 	 -8.000000 26.368975 4.495484 	 12.300000 26.368975 3.773918 	 -0.300000 26.368975 4.223195 	 4.300000 26.368975 4.046207 	
 8.320000 26.142036 4.266695 	 -3.680000 26.142036 4.078645 	 -8.000000 26.142036 4.556002 	 12.320000 26.142036 3.789338 	 -0.320000 26.142036 4.266695 	 4.320000 26.142036 4.078645 	
 8.340000 25.915096 4.309995 	 -3.660000 25.915096 4.110883 	 -8.000000 25.915096 4.616320 	 12.340000 25.915096 3.804558 	 -0.340000 25.915096 4.309995 	 4.340000 25.915096 4.110883 	
 8.360000 25.688156 4.353094 	 -3.640000 25.688156 4.142921 	 -8.000000 25.688156 4.676437 	 12.360000 25.688156 3.819578 	 -0.360000 25.688156 4.353094 	 4.360000 25.688156 4.142921 	
 8.380000 25.461218 4.395994 	 -3.620000 25.461218 4.174759 	 -8.000000 25.461218 4.736355 	 12.380000 25.461218 3.834398 	 -0.380000 25.461218 4.395994 	 4.380000 25.461218 4.174759 	
 8.400000 25.234280 4.438694 	 -3.600000 25.234280 4.206397 	 -8.000000 25.234280 4.796073 	 12.400000 25.234280 3.849017 	 -0.400000 25.234280 4.438694 	 4.400000 25.234280 4.206397 	
 8.420000 25.007339 4.481194 	 -3.580000 25.007339 4.237835 	 -8.000000 25.007339 4.855591 	 12.420000 25.007339 3.863437 	 -0.420000 25.007339 4.481194 	 4.420000 25.007339 4.237835 	
 8.440001 24.780399 4.523493 	 -3.560000 24.780399 4.269073 	 -8.000000 24.780399 4.914909 	 12.440001 24.780399 3.877657 	 -0.440000 24.780399 4.523493 	 4.440000 24.780399 4.269073 	
 8.460000 24.553461 4.565593 	 -3.540000 24.553461 4.300111 	 -8.000000 24.553461 4.974027 	 12.460000 24.553461 3.891677 	 -0.460000 24.553461 4.565593 	 4.460000 24.553461 4.300111 	
 8.480000 24.326523 4.607492 	 -3.520000 24.326523 4.330949 	 -8.000000 24.326523 5.032944 	 12.480000 24.326523 3.905497 	 -0.480000 24.326523 4.607492 	 4.480000 24.326523 4.330949 	
 8.500000 24.099583 4.649192 	 -3.500000 24.099583 4.361587 	 -8.000000 24.099583 5.091662 	 12.500000 24.099583 3.919117 	 -0.500000 24.099583 4.649192 	 4.500000 24.099583 4.361587 	
 8.520000 23.872644 4.690692 	 -3.480000 23.872644 4.392025 	 -8.000000 23.872644 5.150180 	 12.520000 23.872644 3.932537 	 -0.520000 23.872644 4.690692 	 4.520000 23.872644 4.392025 	
 8.540000 23.645706 4.731991 	 -3.460000 23.645706 4.422263 	 -8.000000 23.645706 5.208498 	 12.540000 23.645706 3.945757 	 -0.540000 23.645706 4.731991 	 4.540000 23.645706 4.422263 	
 8.560000 23.418766 4.773091 	 -3.440000 23.418766 4.452301 	 -8.000000 23.418766 5.266615 	 12.560000 23.418766 3.958776 	 -0.560000 23.418766 4.773091 	 4.560000 23.418766 4.452301 	
 8.580000 23.191828 4.813991 	 -3.420000 23.191828 4.482138 	 -8.000000 23.191828 5.324533 	 12.580000 23.191828 3.971596 	 -0.580000 23.191828 4.813991 	 4.580000 23.191828 4.482138 	
 8.600000 22.964890 4.854691 	 -3.400000 22.964890 4.511776 	 -8.000000 22.964890 5.382250 	 12.600000 22.964890 3.984216 	 -0.600000 22.964890 4.854691 	 4.600000 22.964890 4.511776 	
 8.620000 22.737949 4.895190 	 -3.380000 22.737949 4.541214 	 -8.000000 22.737949 5.439768 	 12.620000 22.737949 3.996636 	 -0.620000 22.737949 4.895190 	 4.620000 22.737949 4.541214 	
 8.640000 22.511011 4.935490 	 -3.360000 22.511011 4.570452 	 -8.000000 22.511011 5.497086 	 12.640000 22.511011 4.008856 	 -0.640000 22.511011 4.935490 	 4.640000 22.511011 4.570452 	
 8.660000 22.284073 4.975589 	 -3.340000 22.284073 4.599490 	 -8.000000 22.284073 5.554204 	 12.660000 22.284073 4.020876 	 -0.660000 22.284073 4.975589 	 4.660000 22.284073 4.599490 	
 8.680000 22.057133 5.015489 	 -3.320000 22.057133 4.628328 	 -8.000000 22.057133 5.611121 	 12.680000 22.057133 4.032696 	 -0.680000 22.057133 5.015489 	 4.680000 22.057133 4.628328 	
 8.700000 21.830194 5.055189 	 -3.300000 21.830194 4.656966 	 -8.000000 21.830194 5.667839 	 12.700000 21.830194 4.044315 	 -0.700000 21.830194 5.055189 	 4.700000 21.830194 4.656966 	
 8.720000 21.603256 5.094688 	 -3.280000 21.603256 4.685404 	 -8.000000 21.603256 5.724357 	 12.720000 21.603256 4.055736 	 -0.720000 21.603256 5.094688 	 4.720000 21.603256 4.685404 	
 8.740000 21.376316 5.133988 	 -3.260000 21.376316 4.713642 	 -8.000000 21.376316 5.780674 	 12.740000 21.376316 4.066955 	 -0.740000 21.376316 5.133988 	 4.740000 21.376316 4.713642 	
 8.760000 21.149378 5.173088 	 -3.240000 21.149378 4.741680 	 -8.000000 21.149378 5.836792 	 12.760000 21.149378 4.077975 	 -0.760000 21.149378 5.173088 	 4.760000 21.149378 4.741680 	
 8.780000 20.922440 5.211987 	 -3.220000 20.922440 4.769517 	 -8.000000 20.922440 5.892710 	 12.780000 20.922440 4.088795 	 -0.780000 20.922440 5.211987 	 4.780000 20.922440 4.769517 	
 8.800000 20.695499 5.250687 	 -3.200000 20.695499 4.797155 	 -8.000000 20.695499 5.948428 	 12.800000 20.695499 4.099415 	 -0.800000 20.695499 5.250687 	 4.800000 20.695499 4.797155 	
 8.820000 20.468561 5.289186 	 -3.180000 20.468561 4.824594 	 -8.000000 20.468561 6.003945 	 12.820000 20.468561 4.109835 	 -0.820000 20.468561 5.289186 	 4.820000 20.468561 4.824594 	
 8.840000 20.241623 5.327486 	 -3.160000 20.241623 4.851831 	 -8.000000 20.241623 6.059263 	 12.840000 20.241623 4.120055 	 -0.840000 20.241623 5.327486 	 4.840000 20.241623 4.851831 	
 8.860000 20.014683 5.365586 	 -3.140000 20.014683 4.878869 	 -8.000000 20.014683 6.114381 	 12.860000 20.014683 4.130075 	 -0.860000 20.014683 5.365586 	 4.860000 20.014683 4.878869 	
 8.880000 19.787745 5.403486 	 -3.120000 19.787745 4.905707 	 -8.000000 19.787745 6.169299 	 12.880000 19.787745 4.139894 	 -0.880000 19.787745 5.403486 	 4.880000 19.787745 4.905707 	
 8.900000 19.560806 5.441185 	 -3.100000 19.560806 4.932345 	 -8.000000 19.560806 6.224016 	 12.900000 19.560806 4.149514 	 -0.900000 19.560806 5.441185 	 4.900000 19.560806 4.932345 	
 8.920000 19.333866 5.478685 	 -3.080000 19.333866 4.958783 	 -8.000000 19.333866 6.278534 	 12.920000 19.333866 4.158934 	 -0.920000 19.333866 5.478685 	 4.920000 19.333866 4.958783 	
 8.940000 19.106928 5.515985 	 -3.060000 19.106928 4.985021 	 -8.000000 19.106928 6.332851 	 12.940000 19.106928 4.168154 	 -0.940000 19.106928 5.515985 	 4.940000 19.106928 4.985021 	
 8.960000 18.879990 5.553084 	 -3.040000 18.879990 5.011059 	 -8.000000 18.879990 6.386970 	 12.960000 18.879990 4.177174 	 -0.960000 18.879990 5.553084 	 4.960000 18.879990 5.011059 	
 8.980000 18.653049 5.589984 	 -3.020000 18.653049 5.036897 	 -8.000000 18.653049 6.440887 	 12.980000 18.653049 4.185994 	 -0.980000 18.653049 5.589984 	 4.980000 18.653049 5.036897 	
 9.000000 18.426109 5.626684 	 -3.000000 18.426109 5.062535 	 -8.000000 18.426109 6.494605 	 13.000000 18.426109 4.194613 	 -1.000000 18.426109 5.626684 	 5.000000 18.426109 5.062535 	
 9.020000 18.199173 5.663183 	 -2.980000 18.199173 5.087973 	 -8.000000 18.199173 6.548122 	 13.020000 18.199173 4.203033 	 -1.020000 18.199173 5.663183 	 5.020000 18.199173 5.087973 	
 9.040000 17.972233 5.699483 	 -2.960001 17.972233 5.113211 	 -8.000000 17.972233 6.601440 	 13.040000 17.972233 4.211253 	 -1.040000 17.972233 5.699483 	 5.039999 17.972233 5.113211 	
 9.059999 17.745293 5.735583 	 -2.940001 17.745293 5.138248 	 -8.000000 17.745293 6.654558 	 13.059999 17.745293 4.219273 	 -1.060000 17.745293 5.735583 	 5.059999 17.745293 5.138248 	
 9.080000 17.518356 5.771482 	 -2.920001 17.518356 5.163086 	 -8.000000 17.518356 6.707476 	 13.080000 17.518356 4.227093 	 -1.080000 17.518356 5.771482 	 5.079999 17.518356 5.163086 	
 9.099999 17.291416 5.807182 	 -2.900001 17.291416 5.187725 	 -8.000000 17.291416 6.760193 	 13.099999 17.291416 4.234713 	 -1.100000 17.291416 5.807182 	 5.099999 17.291416 5.187725 	
 9.120000 17.064476 5.842681 	 -2.880001 17.064476 5.212162 	 -8.000000 17.064476 6.812711 	 13.120000 17.064476 4.242133 	 -1.120000 17.064476 5.842681 	 5.119999 17.064476 5.212162 	
 9.139999 16.837540 5.877981 	 -2.860001 16.837540 5.236400 	 -8.000000 16.837540 6.865029 	 13.139999 16.837540 4.249353 	 -1.140000 16.837540 5.877981 	 5.139999 16.837540 5.236400 	
 9.160000 16.610600 5.913081 	 -2.840001 16.610600 5.260438 	 -8.000000 16.610600 6.917147 	 13.160000 16.610600 4.256372 	 -1.159999 16.610600 5.913081 	 5.159999 16.610600 5.260438 	
 9.179999 16.383659 5.947981 	 -2.820001 16.383659 5.284276 	 -8.000000 16.383659 6.969064 	 13.179999 16.383659 4.263193 	 -1.179999 16.383659 5.947981 	 5.179999 16.383659 5.284276 	
 9.200000 16.156723 5.982680 	 -2.800001 16.156723 5.307914 	 -8.000000 16.156723 7.020782 	 13.200000 16.156723 4.269812 	 -1.199999 16.156723 5.982680 	 5.199999 16.156723 5.307914 	
 9.219999 15.929783 6.017180 	 -2.780001 15.929783 5.331352 	 -8.000000 15.929783 7.072300 	 13.219999 15.929783 4.276232 	 -1.219999 15.929783 6.017180 	 5.219999 15.929783 5.331352 	
 9.240000 15.702845 6.051480 	 -2.760001 15.702845 5.354590 	 -8.000000 15.702845 7.123618 	 13.240000 15.702845 4.282452 	 -1.239999 15.702845 6.051480 	 5.239999 15.702845 5.354590 	
 9.259999 15.475905 6.085579 	 -2.740001 15.475905 5.377628 	 -8.000000 15.475905 7.174735 	 13.259999 15.475905 4.288472 	 -1.259999 15.475905 6.085579 	 5.259999 15.475905 5.377628 	
 9.280000 15.248966 6.119479 	 -2.720001 15.248966 5.400466 	 -8.000000 15.248966 7.225653 	 13.280000 15.248966 4.294292 	 -1.279999 15.248966 6.119479 	 5.279999 15.248966 5.400466 	
 9.299999 15.022028 6.153179 	 -2.700001 15.022028 5.423104 	 -8.000000 15.022028 7.276371 	 13.299999 15.022028 4.299912 	 -1.299999 15.022028 6.153179 	 5.299999 15.022028 5.423104 	
 9.320000 14.795089 6.186678 	 -2.680001 14.795089 5.445541 	 -8.000000 14.795089 7.326889 	 13.320000 14.795089 4.305332 	 -1.319999 14.795089 6.186678 	 5.319999 14.795089 5.445541 	
 9.339999 14.568150 6.219978 	 -2.660001 14.568150 5.467780 	 -8.000000 14.568150 7.377206 	 13.339999 14.568150 4.310552 	 -1.339999 14.568150 6.219978 	 5.339999 14.568150 5.467780 	
 9.360000 14.341211 6.253078 	 -2.640001 14.341211 5.489818 	 -8.000000 14.341211 7.427324 	 13.360000 14.341211 4.315571 	 -1.359999 14.341211 6.253078 	 5.359999 14.341211 5.489818 	
 9.379999 14.114272 6.285977 	 -2.620001 14.114272 5.511655 	 -8.000000 14.114272 7.477242 	 13.379999 14.114272 4.320391 	 -1.379999 14.114272 6.285977 	 5.379999 14.114272 5.511655 	
 9.400000 13.887333 6.318677 	 -2.600001 13.887333 5.533293 	 -8.000000 13.887333 7.526959 	 13.400000 13.887333 4.325011 	 -1.399999 13.887333 6.318677 	 5.399999 13.887333 5.533293 	
 9.419999 13.660395 6.351177 	 -2.580001 13.660395 5.554731 	 -8.000000 13.660395 7.576477 	 13.419999 13.660395 4.329431 	 -1.419999 13.660395 6.351177 	 5.419999 13.660395 5.554731 	
 9.440000 13.433455 6.383476 	 -2.560001 13.433455 5.575969 	 -8.000000 13.433455 7.625795 	 13.440000 13.433455 4.333651 	 -1.439999 13.433455 6.383476 	 5.439999 13.433455 5.575969 	
 9.459999 13.206516 6.415576 	 -2.540001 13.206516 5.597007 	 -8.000000 13.206516 7.674912 	 13.459999 13.206516 4.337671 	 -1.459999 13.206516 6.415576 	 5.459999 13.206516 5.597007 	
 9.480000 12.979578 6.447475 	 -2.520001 12.979578 5.617845 	 -8.000000 12.979578 7.723830 	 13.480000 12.979578 4.341491 	 -1.479999 12.979578 6.447475 	 5.479999 12.979578 5.617845 	
 9.499999 12.752638 6.479176 	 -2.500001 12.752638 5.638483 	 -8.000000 12.752638 7.772548 	 13.499999 12.752638 4.345110 	 -1.499999 12.752638 6.479176 	 5.499999 12.752638 5.638483 	
 9.520000 12.525700 6.510675 	 -2.480001 12.525700 5.658921 	 -8.000000 12.525700 7.821066 	 13.520000 12.525700 4.348530 	 -1.519999 12.525700 6.510675 	 5.519999 12.525700 5.658921 	
 9.539999 12.298761 6.541975 	 -2.460001 12.298761 5.679159 	 -8.000000 12.298761 7.869383 	 13.539999 12.298761 4.351750 	 -1.539999 12.298761 6.541975 	 5.539999 12.298761 5.679159 	
 9.559999 12.071821 6.573074 	 -2.440001 12.071821 5.699197 	 -8.000000 12.071821 7.917501 	 13.559999 12.071821 4.354770 	 -1.559999 12.071821 6.573074 	 5.559999 12.071821 5.699197 	
 9.579999 11.844883 6.603974 	 -2.420001 11.844883 5.719035 	 -8.000000 11.844883 7.965419 	 13.579999 11.844883 4.357590 	 -1.579999 11.844883 6.603974 	 5.579999 11.844883 5.719035 	
 9.599999 11.617945 6.634674 	 -2.400001 11.617945 5.738673 	 -8.000000 11.617945 8.013137 	 13.599999 11.617945 4.360210 	 -1.599999 11.617945 6.634674 	 5.599999 11.617945 5.738673 	
 9.619999 11.391006 6.665174 	 -2.380001 11.391006 5.758111 	 -8.000000 11.391006 8.060655 	 13.619999 11.391006 4.362630 	 -1.619999 11.391006 6.665174 	 5.619999 11.391006 5.758111 	
 9.639999 11.164066 6.695473 	 -2.360001 11.164066 5.777349 	 -8.000000 11.164066 8.107972 	 13.639999 11.164066 4.364850 	 -1.639999 11.164066 6.695473 	 5.639999 11.164066 5.777349 	
 9.659999 10.937128 6.725573 	 -2.340001 10.937128 5.796387 	 -8.000000 10.937128 8.155089 	 13.659999 10.937128 4.366869 	 -1.659999 10.937128 6.725573 	 5.659999 10.937128 5.796387 	
 9.679999 10.710190 6.755472 	 -2.320001 10.710190 5.815225 	 -8.000000 10.710190 8.202007 	 13.679999 10.710190 4.368690 	 -1.679999 10.710190 6.755472 	 5.679999 10.710190 5.815225 	
 9.699999 10.483250 6.785172 	 -2.300001 10.483250 5.833862 	 -8.000000 10.483250 8.248725 	 13.699999 10.483250 4.370309 	 -1.699999 10.483250 6.785172 	 5.699999 10.483250 5.833862 	
 9.719999 10.256311 6.814672 	 -2.280001 10.256311 5.852300 	 -8.000000 10.256311 8.295243 	 13.719999 10.256311 4.371729 	 -1.719999 10.256311 6.814672 	 5.719999 10.256311 5.852300 	
 9.739999 10.029373 6.843971 	 -2.260001 10.029373 5.870538 	 -8.000000 10.029373 8.341560 	 13.739999 10.029373 4.372949 	 -1.739999 10.029373 6.843971 	 5.739999 10.029373 5.870538 	
 9.759999 9.802433 6.873071 	 -2.240001 9.802433 5.888576 	 -8.000000 9.802433 8.387678 	 13.759999 9.802433 4.373969 	 -1.759999 9.802433 6.873071 	 5.759999 9.802433 5.888576 	
 9.779999 9.575495 6.901971 	 -2.220001 9.575495 5.906414 	 -8.000000 9.575495 8.433597 	 13.779999 9.575495 4.374789 	 -1.779999 9.575495 6.901971 	 5.779999 9.575495 5.906414 	
 9.799999 9.348557 6.930670 	 -2.200001 9.348557 5.924052 	 -8.000000 9.348557 8.479314 	 13.799999 9.348557 4.375409 	 -1.799999 9.348557 6.930670 	 5.799999 9.348557 5.924052 	
 9.819999 9.121616 6.959170 	 -2.180001 9.121616 5.941490 	 -8.000000 9.121616 8.524832 	 13.819999 9.121616 4.375829 	 -1.819999 9.121616 6.959170 	 5.819999 9.121616 5.941490 	
 9.839999 8.894678 6.987470 	 -2.160001 8.894678 5.958728 	 -8.000000 8.894678 8.570149 	 13.839999 8.894678 4.376049 	 -1.839999 8.894678 6.987470 	 5.839999 8.894678 5.958728 	
 9.859999 8.667740 7.015570 	 -2.140001 8.667740 5.975766 	 -8.000000 8.667740 8.615267 	 13.859999 8.667740 4.376069 	 -1.859999 8.667740 7.015570 	 5.859999 8.667740 5.975766 	
 9.879999 8.440800 7.043469 	 -2.120001 8.440800 5.992604 	 -8.000000 8.440800 8.660185 	 13.879999 8.440800 4.375888 	 -1.879999 8.440800 7.043469 	 5.879999 8.440800 5.992604 	
 9.899999 8.213861 7.071169 	 -2.100001 8.213861 6.009242 	 -8.000000 8.213861 8.704903 	 13.899999 8.213861 4.375508 	 -1.899999 8.213861 7.071169 	 5.899999 8.213861 6.009242 	
 9.919999 7.986923 7.098669 	 -2.080001 7.986923 6.025680 	 -8.000000 7.986923 8.749420 	 13.919999 7.986923 4.374928 	 -1.919999 7.986923 7.098669 	 5.919999 7.986923 6.025680 	
 9.939999 7.759983 7.125968 	 -2.060001 7.759983 6.041918 	 -8.000000 7.759983 8.793738 	 13.939999 7.759983 4.374148 	 -1.939999 7.759983 7.125968 	 5.939999 7.759983 6.041918 	
 9.959999 7.533045 7.153068 	 -2.040001 7.533045 6.057956 	 -8.000000 7.533045 8.837855 	 13.959999 7.533045 4.373168 	 -1.959999 7.533045 7.153068 	 5.959999 7.533045 6.057956 	
 9.979999 7.306107 7.179967 	 -2.020001 7.306107 6.073793 	 -8.000000 7.306107 8.881773 	 13.979999 7.306107 4.371988 	 -1.979999 7.306107 7.179967 	 5.979999 7.306107 6.073793 	
 9.999999 7.079166 7.206667 	 -2.000001 7.079166 6.089432 	 -8.000000 7.079166 8.925491 	 13.999999 7.079166 4.370608 	 -1.999999 7.079166 7.206667 	 5.999999 7.079166 6.089432 	
 10.019999 6.852226 7.233167 	 -1.980001 6.852226 6.104869 	 -8.000000 6.852226 8.969009 	 14.019999 6.852226 4.369028 	 -2.019999 6.852226 7.233167 	 6.019999 6.852226 6.104869 	
