# Game Session ID 
0 
### Session Start ### 
# Game ID 
0 
# Begin play Date and Time 
 3 / 5 / 2013    20:34:24 
# With Fead back 
 True  
# With Visible Trajectory 
 False  
### Game start ### 
 # Throw number 1 of 5
# Type of Balls 
 Ball 0 -> Good ball 
 Ball 1 -> Ok ball 
 Ball 2 -> Bad ball 
# Trajectory par ball 
 Ball 0                               	 Ball 1                               	 Ball 2                               	 Ball 3                               	 Ball 4                               	 Ball 5                               	
X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	
 9.160002 -2.452267 8.147454 	 -0.259997 -2.452267 6.565626 	 8.000000 -2.452267 10.581037 	                    	                    	                    	
 9.140002 -2.679207 8.165554 	 -0.289997 -2.679207 6.572663 	 8.000000 -2.679207 10.616155 	                    	                    	                    	
 9.120002 -2.906143 8.183454 	 -0.319997 -2.906143 6.579501 	 8.000000 -2.906143 10.651073 	                    	                    	                    	
 9.100002 -3.133083 8.201154 	 -0.349997 -3.133083 6.586139 	 8.000000 -3.133083 10.685790 	                    	                    	                    	
 9.080002 -3.360023 8.218653 	 -0.379997 -3.360023 6.592577 	 8.000000 -3.360023 10.720307 	                    	                    	                    	
 9.060002 -3.586960 8.235953 	 -0.409997 -3.586960 6.598815 	 8.000000 -3.586960 10.754625 	                    	                    	                    	
 9.040002 -3.813900 8.253053 	 -0.439997 -3.813900 6.604853 	 8.000000 -3.813900 10.788743 	                    	                    	                    	
 9.020002 -4.040840 8.269952 	 -0.469997 -4.040840 6.610691 	 8.000000 -4.040840 10.822660 	                    	                    	                    	
 9.000002 -4.267776 8.286652 	 -0.499997 -4.267776 6.616329 	 8.000000 -4.267776 10.856379 	                    	                    	                    	
 8.980002 -4.494717 8.303151 	 -0.529997 -4.494717 6.621767 	 8.000000 -4.494717 10.889896 	                    	                    	                    	
 8.960002 -4.721657 8.319451 	 -0.559997 -4.721657 6.627005 	 8.000000 -4.721657 10.923214 	                    	                    	                    	
 8.940002 -4.948593 8.335551 	 -0.589997 -4.948593 6.632043 	 8.000000 -4.948593 10.956332 	                    	                    	                    	
 8.920002 -5.175533 8.351451 	 -0.619997 -5.175533 6.636881 	 8.000000 -5.175533 10.989249 	                    	                    	                    	
 8.900002 -5.402473 8.367150 	 -0.649997 -5.402473 6.641519 	 8.000000 -5.402473 11.021968 	                    	                    	                    	
 8.880002 -5.629410 8.382650 	 -0.679997 -5.629410 6.645957 	 8.000000 -5.629410 11.054485 	                    	                    	                    	
 8.860003 -5.856350 8.397950 	 -0.709997 -5.856350 6.650195 	 8.000000 -5.856350 11.086803 	                    	                    	                    	
 8.840002 -6.083290 8.413050 	 -0.739997 -6.083290 6.654233 	 8.000000 -6.083290 11.118920 	                    	                    	                    	
 8.820003 -6.310226 8.427949 	 -0.769997 -6.310226 6.658071 	 8.000000 -6.310226 11.150838 	                    	                    	                    	
 8.800002 -6.537167 8.442649 	 -0.799996 -6.537167 6.661709 	 8.000000 -6.537167 11.182556 	                    	                    	                    	
 8.780003 -6.764107 8.457149 	 -0.829996 -6.764107 6.665147 	 8.000000 -6.764107 11.214074 	                    	                    	                    	
 8.760002 -6.991043 8.471448 	 -0.859996 -6.991043 6.668385 	 8.000000 -6.991043 11.245392 	                    	                    	                    	
 8.740003 -7.217983 8.485548 	 -0.889996 -7.217983 6.671423 	 8.000000 -7.217983 11.276509 	                    	                    	                    	
 8.720002 -7.444923 8.499448 	 -0.919996 -7.444923 6.674261 	 8.000000 -7.444923 11.307427 	                    	                    	                    	
