# Game Session ID 
13 
### Session Start ### 
# Game ID 
0 
# Begin play Date and Time 
 7 / 5 / 2013    20:43:21 
# With Fead back 
 True  
# With Visible Trajectory 
 False  
### Game start ### 
 # Trajectory par ball 
 Ball 0                               	 Ball 1                               	 Ball 2                               	 Ball 3                               	 Ball 4                               	 Ball 5                               	 Ball 6                               	 Ball 7                               	 Ball 8                               	 Ball 9                               	
X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	
 -9.059999 23.801205 5.913081 	 -4.680000 23.801205 5.260438 	 -1.639999 23.801205 6.917147 	                    	                    	                    	                    	                    	                    	                    	
 -9.079999 23.696140 5.947981 	 -4.690000 23.696140 5.284276 	 -1.669999 23.696140 6.969064 	                    	                    	                    	                    	                    	                    	                    	
 -9.099999 23.591076 5.982680 	 -4.700000 23.591076 5.307914 	 -1.699999 23.591076 7.020782 	                    	                    	                    	                    	                    	                    	                    	
 -9.119999 23.486012 6.017180 	 -4.710000 23.486012 5.331352 	 -1.729999 23.486012 7.072300 	                    	                    	                    	                    	                    	                    	                    	
 -9.139999 23.380947 6.051480 	 -4.720000 23.380947 5.354590 	 -1.759999 23.380947 7.123618 	                    	                    	                    	                    	                    	                    	                    	
 -9.159999 23.275883 6.085579 	 -4.730000 23.275883 5.377628 	 -1.789999 23.275883 7.174735 	                    	                    	                    	                    	                    	                    	                    	
 -9.179999 23.170818 6.119479 	 -4.740000 23.170818 5.400466 	 -1.819999 23.170818 7.225653 	                    	                    	                    	                    	                    	                    	                    	
 -9.199999 23.065754 6.153179 	 -4.750000 23.065754 5.423104 	 -1.849999 23.065754 7.276371 	                    	                    	                    	                    	                    	                    	                    	
 -9.219999 22.960690 6.186678 	 -4.760000 22.960690 5.445541 	 -1.879999 22.960690 7.326889 	                    	                    	                    	                    	                    	                    	                    	
 -9.239999 22.855625 6.219978 	 -4.770000 22.855625 5.467780 	 -1.909999 22.855625 7.377206 	                    	                    	                    	                    	                    	                    	                    	
 -9.259999 22.750561 6.253078 	 -4.780000 22.750561 5.489818 	 -1.939999 22.750561 7.427324 	                    	                    	                    	                    	                    	                    	                    	
 -9.279999 22.645496 6.285977 	 -4.790000 22.645496 5.511655 	 -1.969999 22.645496 7.477242 	                    	                    	                    	                    	                    	                    	                    	
 -9.299999 22.540432 6.318677 	 -4.800000 22.540432 5.533293 	 -1.999999 22.540432 7.526959 	                    	                    	                    	                    	                    	                    	                    	
 -9.319999 22.435368 6.351177 	 -4.810000 22.435368 5.554731 	 -2.029999 22.435368 7.576477 	                    	                    	                    	                    	                    	                    	                    	
 -9.339999 22.330303 6.383476 	 -4.820000 22.330303 5.575969 	 -2.059999 22.330303 7.625795 	                    	                    	                    	                    	                    	                    	                    	
 -9.359999 22.225239 6.415576 	 -4.830000 22.225239 5.597007 	 -2.089999 22.225239 7.674912 	                    	                    	                    	                    	                    	                    	                    	
 -9.379999 22.120174 6.447475 	 -4.840000 22.120174 5.617845 	 -2.119999 22.120174 7.723830 	                    	                    	                    	                    	                    	                    	                    	
 -9.399999 22.015110 6.479176 	 -4.850000 22.015110 5.638483 	 -2.149999 22.015110 7.772548 	                    	                    	                    	                    	                    	                    	                    	
 -9.419999 21.910046 6.510675 	 -4.860000 21.910046 5.658921 	 -2.179999 21.910046 7.821066 	                    	                    	                    	                    	                    	                    	                    	
 -9.439999 21.804981 6.541975 	 -4.870000 21.804981 5.679159 	 -2.209999 21.804981 7.869383 	                    	                    	                    	                    	                    	                    	                    	
 -9.459999 21.699917 6.573074 	 -4.880000 21.699917 5.699197 	 -2.239999 21.699917 7.917501 	                    	                    	                    	                    	                    	                    	                    	
 -9.479999 21.594852 6.603974 	 -4.890000 21.594852 5.719035 	 -2.269999 21.594852 7.965419 	                    	                    	                    	                    	                    	                    	                    	
 -9.499999 21.489788 6.634674 	 -4.900000 21.489788 5.738673 	 -2.299999 21.489788 8.013137 	                    	                    	                    	                    	                    	                    	                    	
 -9.519999 21.384724 6.665174 	 -4.910000 21.384724 5.758111 	 -2.329998 21.384724 8.060655 	                    	                    	                    	                    	                    	                    	                    	
 -9.539999 21.279659 6.695473 	 -4.920000 21.279659 5.777349 	 -2.359998 21.279659 8.107972 	                    	                    	                    	                    	                    	                    	                    	
 -9.559999 21.174597 6.725573 	 -4.930000 21.174597 5.796387 	 -2.389998 21.174597 8.155089 	                    	                    	                    	                    	                    	                    	                    	
 -9.579999 21.069532 6.755472 	 -4.940000 21.069532 5.815225 	 -2.419998 21.069532 8.202007 	                    	                    	                    	                    	                    	                    	                    	
 -9.599998 20.964468 6.785172 	 -4.950000 20.964468 5.833862 	 -2.449998 20.964468 8.248725 	                    	                    	                    	                    	                    	                    	                    	
 -9.619999 20.859404 6.814672 	 -4.960000 20.859404 5.852300 	 -2.479998 20.859404 8.295243 	                    	                    	                    	                    	                    	                    	                    	
 -9.639998 20.754339 6.843971 	 -4.970000 20.754339 5.870538 	 -2.509998 20.754339 8.341560 	                    	                    	                    	                    	                    	                    	                    	
 -9.659999 20.649275 6.873071 	 -4.980000 20.649275 5.888576 	 -2.539998 20.649275 8.387678 	                    	                    	                    	                    	                    	                    	                    	
 -9.679998 20.544210 6.901971 	 -4.990000 20.544210 5.906414 	 -2.569998 20.544210 8.433597 	                    	                    	                    	                    	                    	                    	                    	
 -9.699999 20.439146 6.930670 	 -5.000000 20.439146 5.924052 	 -2.599998 20.439146 8.479314 	                    	                    	                    	                    	                    	                    	                    	
 -9.719998 20.334082 6.959170 	 -5.010000 20.334082 5.941490 	 -2.629998 20.334082 8.524832 	                    	                    	                    	                    	                    	                    	                    	
 -9.739999 20.229017 6.987470 	 -5.020000 20.229017 5.958728 	 -2.659998 20.229017 8.570149 	                    	                    	                    	                    	                    	                    	                    	
 -9.759998 20.123955 7.015570 	 -5.030000 20.123955 5.975766 	 -2.689998 20.123955 8.615267 	                    	                    	                    	                    	                    	                    	                    	
 -9.779999 20.018890 7.043469 	 -5.040000 20.018890 5.992604 	 -2.719998 20.018890 8.660185 	                    	                    	                    	                    	                    	                    	                    	
 -9.799998 19.913826 7.071169 	 -5.050000 19.913826 6.009242 	 -2.749998 19.913826 8.704903 	                    	                    	                    	                    	                    	                    	                    	
 -9.819999 19.808762 7.098669 	 -5.060000 19.808762 6.025680 	 -2.779998 19.808762 8.749420 	                    	                    	                    	                    	                    	                    	                    	
 -9.839998 19.703697 7.125968 	 -5.070000 19.703697 6.041918 	 -2.809998 19.703697 8.793738 	                    	                    	                    	                    	                    	                    	                    	
 -9.859999 19.598633 7.153068 	 -5.080000 19.598633 6.057956 	 -2.839998 19.598633 8.837855 	                    	                    	                    	                    	                    	                    	                    	
 -9.879998 19.493568 7.179967 	 -5.090000 19.493568 6.073793 	 -2.869998 19.493568 8.881773 	                    	                    	                    	                    	                    	                    	                    	
 -9.899999 19.388504 7.206667 	 -5.100000 19.388504 6.089432 	 -2.899998 19.388504 8.925491 	                    	                    	                    	                    	                    	                    	                    	
 -9.919998 19.283440 7.233167 	 -5.110000 19.283440 6.104869 	 -2.929998 19.283440 8.969009 	                    	                    	                    	                    	                    	                    	                    	
 -9.939999 19.178375 7.259467 	 -5.120000 19.178375 6.120108 	 -2.959998 19.178375 9.012327 	                    	                    	                    	                    	                    	                    	                    	
