# Game Session ID 
161 
### Session Start ### 
# Game ID 
0 
# Begin play Date and Time 
 7 / 5 / 2013    16:43:38 
# With Fead back 
 False  
# With Visible Trajectory 
 True  
### Game start ### 
 # Trajectory par ball 
 Ball 0                               	 Ball 1                               	 Ball 2                               	 Ball 3                               	 Ball 4                               	 Ball 5                               	 Ball 6                               	 Ball 7                               	 Ball 8                               	 Ball 9                               	
X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	
 -8.939998 22.855625 6.219978 	 -5.070001 22.855625 5.467780 	 -1.609999 22.855625 7.377206 	                    	                    	                    	                    	                    	                    	                    	
 -8.959998 22.750561 6.253078 	 -5.080001 22.750561 5.489818 	 -1.639999 22.750561 7.427324 	                    	                    	                    	                    	                    	                    	                    	
 -8.979998 22.645496 6.285977 	 -5.090001 22.645496 5.511655 	 -1.669999 22.645496 7.477242 	                    	                    	                    	                    	                    	                    	                    	
 -8.999998 22.540432 6.318677 	 -5.100001 22.540432 5.533293 	 -1.699999 22.540432 7.526959 	                    	                    	                    	                    	                    	                    	                    	
 -9.019998 22.435368 6.351177 	 -5.110001 22.435368 5.554731 	 -1.729999 22.435368 7.576477 	                    	                    	                    	                    	                    	                    	                    	
 -9.039998 22.330303 6.383476 	 -5.120001 22.330303 5.575969 	 -1.759999 22.330303 7.625795 	                    	                    	                    	                    	                    	                    	                    	
 -9.059998 22.225239 6.415576 	 -5.130001 22.225239 5.597007 	 -1.789999 22.225239 7.674912 	                    	                    	                    	                    	                    	                    	                    	
 -9.079998 22.120174 6.447475 	 -5.140001 22.120174 5.617845 	 -1.819999 22.120174 7.723830 	                    	                    	                    	                    	                    	                    	                    	
 -9.099998 22.015110 6.479176 	 -5.150001 22.015110 5.638483 	 -1.849999 22.015110 7.772548 	                    	                    	                    	                    	                    	                    	                    	
 -9.119998 21.910046 6.510675 	 -5.160001 21.910046 5.658921 	 -1.879999 21.910046 7.821066 	                    	                    	                    	                    	                    	                    	                    	
 -9.139997 21.804981 6.541975 	 -5.170001 21.804981 5.679159 	 -1.909999 21.804981 7.869383 	                    	                    	                    	                    	                    	                    	                    	
 -9.159998 21.699917 6.573074 	 -5.180001 21.699917 5.699197 	 -1.939999 21.699917 7.917501 	                    	                    	                    	                    	                    	                    	                    	
 -9.179997 21.594852 6.603974 	 -5.190001 21.594852 5.719035 	 -1.969999 21.594852 7.965419 	                    	                    	                    	                    	                    	                    	                    	
 -9.199998 21.489788 6.634674 	 -5.200001 21.489788 5.738673 	 -1.999999 21.489788 8.013137 	                    	                    	                    	                    	                    	                    	                    	
 -9.219997 21.384724 6.665174 	 -5.210001 21.384724 5.758111 	 -2.029999 21.384724 8.060655 	                    	                    	                    	                    	                    	                    	                    	
 -9.239998 21.279659 6.695473 	 -5.220001 21.279659 5.777349 	 -2.059999 21.279659 8.107972 	                    	                    	                    	                    	                    	                    	                    	
 -9.259997 21.174597 6.725573 	 -5.230001 21.174597 5.796387 	 -2.089998 21.174597 8.155089 	                    	                    	                    	                    	                    	                    	                    	
 -9.279998 21.069532 6.755472 	 -5.240001 21.069532 5.815225 	 -2.119998 21.069532 8.202007 	                    	                    	                    	                    	                    	                    	                    	
 -9.299997 20.964468 6.785172 	 -5.250001 20.964468 5.833862 	 -2.149998 20.964468 8.248725 	                    	                    	                    	                    	                    	                    	                    	
 -9.319998 20.859404 6.814672 	 -5.260001 20.859404 5.852300 	 -2.179998 20.859404 8.295243 	                    	                    	                    	                    	                    	                    	                    	
 -9.339997 20.754339 6.843971 	 -5.270001 20.754339 5.870538 	 -2.209998 20.754339 8.341560 	                    	                    	                    	                    	                    	                    	                    	
 -9.359998 20.649275 6.873071 	 -5.280001 20.649275 5.888576 	 -2.239998 20.649275 8.387678 	                    	                    	                    	                    	                    	                    	                    	
 -9.379997 20.544210 6.901971 	 -5.290001 20.544210 5.906414 	 -2.269998 20.544210 8.433597 	                    	                    	                    	                    	                    	                    	                    	
 -9.399998 20.439146 6.930670 	 -5.300001 20.439146 5.924052 	 -2.299998 20.439146 8.479314 	                    	                    	                    	                    	                    	                    	                    	
 -9.419997 20.334082 6.959170 	 -5.310001 20.334082 5.941490 	 -2.329998 20.334082 8.524832 	                    	                    	                    	                    	                    	                    	                    	
 -9.439998 20.229017 6.987470 	 -5.320001 20.229017 5.958728 	 -2.359998 20.229017 8.570149 	                    	                    	                    	                    	                    	                    	                    	
 -9.459997 20.123955 7.015570 	 -5.330001 20.123955 5.975766 	 -2.389998 20.123955 8.615267 	                    	                    	                    	                    	                    	                    	                    	
 -9.479998 20.018890 7.043469 	 -5.340001 20.018890 5.992604 	 -2.419998 20.018890 8.660185 	                    	                    	                    	                    	                    	                    	                    	
 -9.499997 19.913826 7.071169 	 -5.350001 19.913826 6.009242 	 -2.449998 19.913826 8.704903 	                    	                    	                    	                    	                    	                    	                    	
 -9.519998 19.808762 7.098669 	 -5.360001 19.808762 6.025680 	 -2.479998 19.808762 8.749420 	                    	                    	                    	                    	                    	                    	                    	
